Project ID,Project code,Item code,Item description,Item category name,Units expected,Units Produced,Units remaining,Due date,Project status,Runnable,BOM After Production
1813136,GCC394137,GCC40889,5/5.32oz DK RASP SUB SRC,Co-Pack Finished Good,19000,11249,7751,2019-Jun-12 09:00 PM,Booked,True,"GCC0500: 32673.31
GCC101508: 67444.0
GCC102507: 579702.0
GCC1706: 4980177.0
GCC2895: 8531.32
GCC3737: 62.349999999999994
GCC77083: 194653.0"
1813134,GCC394373,GCC41270,12/4.1oz XM DUO FB SNWM SUB200,Co-Pack Finished Good,5000,0,5000,2019-Jun-17 09:00 PM,Open,False,"GCC0500: 32696.11
GCC100611: 80096.0
GCC100612: 119517.0
GCC102674: -60000.0
GCC1706: 5008177.0
GCC3737: 69.35
GCC73048: -720.0
GCC73092: -720.0
GCC8285: 93549.5"
1813133,GCC394371,GCC41013,46/XM ASST BAR SDK WG,Co-Pack Finished Good,3300,1818,1482,2019-Jun-17 09:00 PM,Booked,False,"GCC0500: 32684.07
GCC100173: -869.0
GCC100174: 8004.0
GCC100175: 3688.0
GCC1706: 5011577.0
GCC2565: 2599.0
GCC2817: 6348.0
GCC3474: 3122.0
GCC40434: 14916.0
GCC60721: 11236.0
GCC60725: 16782.0
GCC60764: 35577.770000000004
GCC61175: 42108.0
GCC61422: 5642.5
GCC61423: 11210.5
GCC61526: 28251.89
GCC7956: -3203.0"
1813132,GCC394375,GCC41292,120/XM CHK TWR DSPLY CVS,Co-Pack Finished Good,3510,0,3510,2019-Aug-20 09:00 PM,Open,False,"GCC0500: 32373.0
GCC101946: 355.0
GCC101949: -90.0
GCC102712: 1980.0
GCC102713: 855.0
GCC102714: 265.0
GCC102715: 428.0
GCC102716: 855.0
GCC102717: 2930.0
GCC1706: 5011157.0
GCC40239: -3510.0
GCC40607: -5265.0
GCC40891: -6318.0
GCC41235: -5265.0
GCC41238: -2632.5
GCC61801: -3510.0
GCC61864: 2018.0"
1813131,GCC394376,GCC41293,36/XM BAR WING DSPLY CVS,Co-Pack Finished Good,2500,0,2500,2019-Jun-17 09:00 PM,Open,False,"GCC0500: 32731.36
GCC100476: -10000.0
GCC1706: 5013177.0
GCC4340: 14208.0
GCC4341: -2500.0
GCC4342: -2500.0
GCC4356: -2500.0
GCC60721: 10802.75
GCC60764: 35286.130000000005
GCC61422: 4067.5
GCC7956: 897.0
GCC8285: 93691.0"
1813129,GCC394562,GCC40256,12/4.1oz XM MED PBK WIN GIFT,Co-Pack Finished Good,4265,0,4265,2019-Jun-17 09:00 PM,Open,False,"GCC0500: 32696.929
GCC100459: 32828.0
GCC100461: 6962.0
GCC101511: 29040.0
GCC1706: 5009647.0
GCC3480: 434813.0
GCC5162: 95845.0
GCC5163: 131476.0
GCC73037: 37915.61200000001
GCC73038: -378.732"
1813128,GCC394641,GCC41235,12/4.6oz XM PBK SUB200,Co-Pack Finished Good,27625,23838,3787,2019-Jun-20 12:00 AM,Booked,False,"GCC0500: 32395.197500000002
GCC100611: 57471.0
GCC100612: 96892.0
GCC102427: -322945.0
GCC1706: 4962927.0
GCC3737: 15.049999999999997
GCC73037: 31754.260000000006
GCC8285: 92343.5875"
1813127,GCC394702,GCC83130,12/80ct SNWFLK ASST FG,Retail Packaging,573,0,573,2019-Jun-14 09:00 PM,Open,False,"GCC0500: 32738.7159
GCC102484: 9.123999999999999
GCC1706: 5017031.0
GCC70077: 45622.929599999996
GCC70858: -152.64720000000003
GCC77073: 1711.728
GCC77074: 171004.224
GCC77076: 15452.728
GCC77082: 85667.728
GCC77083: 196401.728
GCC84859: -6.876
GCC84954: -6876.0
GCC84976: -6876.0
GCCS-4643: 5452.0"
1813126,GCC394701,GCC84887,48/Clutch Pbark 19 FG,Co-Pack Finished Good,125,124,1,2019-Jun-19 09:00 PM,Closed,False,"GCC0500: 32754.7975
GCC102292: -5.0
GCC1706: 5017927.0
GCC3480: 525173.0
GCC73037: 38372.71000000001
GCC84241: 1999.4375
GCC84886: -6000.0
GCCS-4643: 5900.0"
1813125,GCC394728,GCC83413,12/80ct Everyday Asst FG,Retail Packaging,1600,0,1600,2019-Jun-10 09:00 PM,Booked,False,"GCC0500: 32695.89
GCC101972: 7.120000000000001
GCC1706: 5014977.0
GCC70077: 45371.52
GCC70858: -426.24000000000007
GCC77073: 1440.6
GCC77074: 170683.8
GCC77076: 15181.6
GCC77082: 85396.6
GCC77083: 196130.6
GCC84836: -18.05
GCC84858: -19089.0
GCC84948: -16189.0
GCCS-4643: 4425.0
GCC73073: 2541.78"
1813124,GCC394722,GCC84072,12/40ct Assorted FG,Retail Packaging,768,476,292,2019-Jun-19 09:00 PM,Closed,False,"GCC0500: 32738.5716
GCC101965: -1.216000000000001
GCC1706: 5016641.0
GCC70077: 45643.392
GCC70858: -119.80799999999999
GCC77073: 1770.84
GCC77074: 171072.408
GCC77076: 15511.84
GCC77082: 85726.84
GCC77083: 196460.84
GCC84805: -9.216000000000001
GCC84857: -5061.0
GCC84948: -6205.0
GCCS-4235: 8154.0"
1813123,GCC394720,GCC83786,16/Signature SM Blue Box FG 16,Retail Packaging,60,0,60,2019-Jun-17 09:00 PM,Booked,False,"GCC0500: 32761.83
GCC102236: 0.040000000000000036
GCC1706: 5018057.0
GCC77074: 171173.4
GCC77076: 15594.4
GCC83763: -0.384
GCC84775: -960.0
GCCS-4986: 487.0"
1813122,GCC394721,GCC84063,12/40ct Milk Choc Caramel FG,Retail Packaging,350,0,350,2019-Jul-14 09:00 PM,Open,False,"GCC0500: 32751.655
GCC101961: -4.2
GCC1706: 5017477.0
GCC77074: 170847.0
GCC84797: -2.1900000000000004
GCC84857: -45.0
GCC84947: -3000.0
GCCS-4235: 8572.0"
1813121,GCC394704,GCC83854,16/Ppmt Brk Keepsake Tin FG 16,Retail Packaging,240,240,0,2019-Jun-14 09:00 PM,Closed,False,"GCC0500: 32752.602
GCC101757: 1.1600000000000001
GCC1706: 5017697.0
GCC73037: 38234.83000000001
GCC83738: -72.0
GCC84112: 0.272
GCCS-4735: 1363.0"
1813120,GCC394705,GCC84636,48/Fall Clutch FG 18,Retail Packaging,74,71,3,2019-Jun-14 09:00 PM,Closed,False,"GCC0500: 32757.985
GCC102113: -2.322
GCC1706: 5018029.0
GCC3480: 530069.0
GCC70077: 45743.3088
GCC77074: 171161.688
GCC77106: -21.311999999999998
GCC84241: 1999.667
GCC84637: -2521.0
GCCS-4643: 5951.0"
1813119,GCC394760,GCC84063,12/40ct Milk Choc Caramel FG,Retail Packaging,350,249,101,2019-Jun-14 09:00 PM,Closed,False,"GCC0500: 32751.655
GCC101961: -4.2
GCC1706: 5017477.0
GCC77074: 170847.0
GCC84797: -2.1900000000000004
GCC84857: -45.0
GCC84947: -3000.0
GCCS-4235: 8572.0"
1813118,GCC394759,GCC83785,12/Gold Bar Tin FG 16,Retail Packaging,380,50,330,2019-Jun-14 09:00 PM,Closed,False,"GCC0500: 32758.126
GCC102127: -4.5600000000000005
GCC1706: 5017417.0
GCC77074: 171073.56
GCC82606: -7.120000000000001
GCC83715: -4560.0
GCC84241: 1999.62
GCC84305: -291.0
GCCS-4924: -64.0"
1813117,GCC394741,GCC84669,48/ID Clutch FG,Retail Packaging,28,0,28,2019-Jun-16 09:00 PM,Booked,False,"GCC0500: 32760.86
GCC1706: 5018121.0
GCC3480: 534485.0
GCC70124: 153818.4736
GCC76091: -6.1823999999999995
GCC76123: -4.166399999999999
GCC77062: -4.166399999999999
GCC84241: 1999.874
GCC84670: -1344.0
GCC84752: -1.344
GCCS-4643: 5997.0"
1813116,GCC394758,GCC83778,12/80ct San Francisco FG 16,Retail Packaging,168,0,168,2019-Jun-14 09:00 PM,Booked,False,"GCC0500: 32760.1404
GCC101973: 1.984
GCC1706: 5017841.0
GCC70077: 45722.073599999996
GCC70858: -44.7552
GCC77073: 1818.648
GCC77074: 171130.584
GCC77076: 15559.648
GCC77082: 85774.648
GCC77083: 196508.648
GCC83681: -20.16
GCC84859: -2.016
GCC84948: 995.0
GCCS-4643: 5857.0"
1813114,GCC394756,GCC83499,25/Rd Acte Bx w Gld Bow 15 FG,Retail Packaging,180,0,180,2019-Aug-15 09:00 PM,Open,False,"GCC0500: 32757.606
GCC102107: 7.5
GCC1706: 5017817.0
GCC70077: 45746.549999999996
GCC77074: 171147.0
GCC77076: 15586.0
GCC77082: 85801.0
GCC77083: 196535.0
GCC84241: 1999.46
GCC84861: -4500.0
GCCS-4530: 3185.0"
1813113,GCC394754,GCC82327,24/Wooden Cable Car FG,Retail Packaging,67,0,67,2019-Jun-14 09:00 PM,Booked,False,"GCC0500: 32760.131
GCC102126: 16.392
GCC1706: 5018043.0
GCC70077: 45751.3008
GCC70858: -11.8992
GCC77074: 171173.352
GCC77082: 85809.352
GCC80876: -67.05359999999999
GCC83762: -1.608
GCCS-4317: 1307.0"
1813112,GCC394743,GCC83028,12/80ct Mk &amp; Cml Sqrs Bag FG,Retail Packaging,312,0,312,2019-Jul-14 09:00 PM,Open,False,"GCC0500: 32749.5996
GCC101970: 1.2559999999999998
GCC1706: 5017553.0
GCC77074: 170583.96
GCC84789: -3.744
GCC84858: -3633.0
GCC84947: -2544.0
GCCS-4643: 5713.0"
1813111,GCC394746,GCC83623,24/CableCar Postcard Tin FG 16,Retail Packaging,40,0,40,2019-Jun-14 09:00 PM,Booked,False,"GCC0500: 32762.59
GCC102109: 0.040000000000000036
GCC1706: 5018173.668
GCC77074: 171177.24
GCC77076: 15598.24
GCC82606: 0.08000000000000007
GCC84241: 1999.92
GCC84779: -960.0
GCCS-4084: 588.0"
1813109,GCC394853,GCC41111,10/9oz XM MCAR SUB400 WM,Co-Pack Finished Good,14600,0,14600,2019-Jun-27 09:00 PM,Booked,False,"GCC0500: 32458.93
GCC101412: 25126.0
GCC101413: 37433.0
GCC102231: 273000.0
GCC1706: 4988977.0
GCC3737: 52.14999999999999
GCC77091: -4964.0"
1813108,GCC394973,GCC40926,280/14/24.6oz ED ASST SUB-710,Co-Pack Finished Good,160,160,0,2019-Jun-10 09:00 PM,Closed,False,"GCC101998: 4967.0
GCC102134: 10760.0
GCC102475: 105413.0
GCC102515: 22736.0
GCC2513: 16821.0
GCC3737: 72.38999999999999
GCC2618: -109.0
GCC70077: 44683.52
GCC77073: 787.8
GCC77074: 170018.2
GCC77076: 14528.8
GCC7754: 33704.0
GCC8516: 10433.0
GCC73073: 1782.74"
1813107,GCC394887,GCC61491,12/6.38oz RASP SQ SUB,Co-Pack Finished Good,2500,0,2500,2019-Jun-16 09:00 PM,Open,True,"GCC0500: 32737.11
GCC101654: 6375.0
GCC1706: 5013177.0
GCC3138: 28533.0
GCC3737: 75.35
GCC77083: 195833.0
GCC8285: 93714.0"
1813106,GCC394761,GCC84072,12/40ct Assorted FG,Retail Packaging,650,0,650,2019-Jun-10 09:00 PM,Open,False,"GCC0500: 32742.265
GCC101965: 0.20000000000000018
GCC1706: 5016877.0
GCC70077: 45661.799999999996
GCC70858: -101.4
GCC77073: 1785.0
GCC77074: 171089.4
GCC77076: 15526.0
GCC77082: 85741.0
GCC77083: 196475.0
GCC84805: -7.8
GCC84857: -3645.0
GCC84948: -4789.0
GCCS-4235: 8272.0"
1813105,GCC395041,GCC40258,12/5.3oz XM MED AST WIN GIFT,Co-Pack Finished Good,3593,1795,1798,2019-Jun-19 09:00 PM,Booked,False,"GCC0500: 32707.2778
GCC100460: -9592.0
GCC100461: 7634.0
GCC102154: -42020.0
GCC1706: 5010991.0
GCC3480: 450941.0
GCC5162: 111973.0
GCC5163: 147604.0
GCC77074: 170838.072
GCC77075: 97335.536
GCC77076: 15431.536
GCC77082: 85646.536"
1813104,GCC395128,GCC40896,3/15.77oz ASST SQ XL SUB SRC,Co-Pack Finished Good,22900,22900,0,2019-Jun-07 05:00 AM,Closed,False,"GCC0500: 32572.54
GCC101506: -2429.0
GCC101699: 263592.0
GCC1706: 4972377.0
GCC3737: 67.61
GCC70077: 44746.439999999995
GCC77074: 170083.8
GCC77082: 84719.8
GCC77083: 195453.8"
1813103,GCC395366,GCC41281,280/14/19.14 ED ID ASST SUB710,Co-Pack Finished Good,80,0,80,2019-Jun-16 09:00 PM,Booked,False,"GCC101998: 5047.0
GCC102134: 11000.0
GCC102490: 2675.0
GCC102596: 26800.0
GCC2513: 17141.0
GCC2618: -29.0
GCC3737: 76.86999999999999
GCC70124: 153080.08
GCC76091: -551.04
GCC76123: -586.88
GCC7754: 34024.0
GCC8516: 10513.0"
1813102,GCC395359,GCC40605,24/0.67 XM PBK FB SNWM SUB050,Co-Pack Finished Good,2282,0,2282,2019-Jun-16 09:00 PM,Open,False,"GCC0500: 32749.8308
GCC101411: 115844.0
GCC1706: 5013613.0
GCC3737: 75.8732
GCC4443: 72896.0
GCC4943: 66401.0
GCC73048: -219.072"
1813099,GCC395369,GCC41282,280/14/19.14 ID w/SSS SUB710,Co-Pack Finished Good,80,30,50,2019-Jun-16 09:00 PM,Booked,False,"GCC101998: 5047.0
GCC102081: 23525.0
GCC102134: 11000.0
GCC102491: 2840.0
GCC2513: 17141.0
GCC2618: -29.0
GCC3737: 76.86999999999999
GCC70124: 153120.4
GCC76091: -586.88
GCC76853: -586.88
GCC7754: 34024.0
GCC8516: 10513.0
GCC70091: 199954.6
GCC70853: 181491.6"
1813098,GCC395621,GCC62246,6/8.22oz LG SS Coll SUB,Co-Pack Finished Good,3500,0,3500,2019-Jun-16 09:00 PM,Booked,False,"GCC0500: 32739.86
GCC101627: 233850.0
GCC1706: 5011177.0
GCC3737: 77.14999999999999
GCC5138: 5436.0
GCC76853: -193.2
GCC76970: -69.69999999999999
GCC77076: 15310.0
GCC8219: 4571.7"
1813097,GCC395372,GCC41283,280/14/15.01 ID ASST SUB600,Co-Pack Finished Good,100,100,0,2019-Jun-16 09:00 PM,Closed,False,"GCC101998: 5027.0
GCC102082: -18313.0
GCC102134: 10940.0
GCC102516: 709.0
GCC2513: 17061.0
GCC2618: -49.0
GCC70124: 153100.8
GCC76091: -560.0
GCC76853: -560.0
GCC7754: 33944.0
GCC8516: 10493.0
GCC70091: 199987.0
GCC70853: 181524.0"
1813096,GCC395800,GCC41091,72/4FL ED MED SUB DSPLY,Co-Pack Finished Good,1100,878,222,2019-Jun-10 09:00 PM,Booked,False,"GCC0500: 32625.11
GCC101162: 3201.0
GCC101169: 6701.0
GCC101170: 9104.0
GCC101171: 30768.0
GCC101184: 4368.0
GCC101267: 2967.0
GCC102067: 2291.0
GCC102068: 4129.0
GCC102069: 3438.0
GCC102362: 3104.0
GCC1706: 5015977.0
GCC61857: -710.0
GCC61862: 1088.0599999999995
GCC61864: 2883.0
GCC61866: 1131.0"
1813095,GCC395798,GCC40815,192ct M&C IMPULSE SHIPPER,Co-Pack Finished Good,408,407,1,2019-Jun-19 09:00 PM,Closed,False,"GCC0500: 32733.4788
GCC101348: 3010.0
GCC101349: 8223.0
GCC101350: 2793.0
GCC101794: 2372.0
GCC1706: 5017361.0
GCC40763: -816.0
GCC7956: 2581.0"
1813094,GCC395921,GCC84907,12/80ct WntrVilg FG 19,Retail Packaging,938,0,938,2019-Jun-20 12:00 AM,Open,False,"GCC0500: 32723.4954
GCC102295: 0.7439999999999998
GCC1706: 5016301.0
GCC70077: 45533.5776
GCC70858: -249.88320000000002
GCC77073: 1615.368
GCC77074: 170890.344
GCC77076: 15356.368
GCC77082: 85571.368
GCC77083: 196305.368
GCC84859: -11.256
GCC84908: -11256.0
GCC84951: -11256.0
GCCS-4643: 5087.0"
1813093,GCC395951,GCC61534,280/10/15.01 XL-C ID SSS SUB,Co-Pack Finished Good,11,0,11,2019-Jun-15 09:00 PM,Open,False,"GCC102082: 6607.0
GCC102125: -308.0
GCC1706: 5018155.0
GCC2490: 9894.0
GCC2513: 17417.0
GCC2618: 40.0
GCC2863: 24017.0
GCC4330: 6321.0
GCC4730: 2485.0
GCC5470: 4345.0
GCC70124: 153746.228
GCC76091: -61.599999999999994
GCC76853: -61.599999999999994
GCC7754: 34300.0
GCC8516: 10582.0"
1813092,GCC396171,GCC40166,6/4.3oz MK SS ALM mini SUB,Co-Pack Finished Good,7000,0,7000,2019-Jun-27 09:00 PM,Booked,False,"GCC0500: 32736.71
GCC100309: 45648.0
GCC100424: 52329.0
GCC1706: 5004177.0
GCC3737: 72.94999999999999
GCC75963: -680.4
GCC8285: 93712.4"
1813091,GCC396040,GCC61121,12/7.06oz XMS PBARK SUB (CAN),Co-Pack Finished Good,3432,0,3432,2019-Jun-15 09:00 PM,Booked,False,"GCC0500: 32696.7156
GCC101346: -4884.0
GCC1706: 5011313.0
GCC2318: 717.0
GCC3737: 73.11319999999999
GCC73037: 37190.532400000004"
1813088,GCC396198,GCC40928,45/MXD ED XL SUB DSPLY,Co-Pack Finished Good,290,0,290,2019-Jun-15 09:00 PM,Open,False,"GCC0500: 32690.11
GCC100208: 1660.0
GCC100209: 5446.0
GCC100211: 2087.0
GCC100212: 1365.0
GCC100213: 6892.0
GCC100214: 7426.0
GCC100215: 1746.0
GCC100409: 2802.0
GCC102077: -290.0
GCC1706: 5017597.0
GCC40041: -483.343
GCC62273: -966.6569999999999
GCC62274: -725.0"
1813087,GCC396311,GCC41156,12/5.7oz XM PBK FB SNWM SUB400,Co-Pack Finished Good,9890,0,9890,2019-Jun-20 12:00 AM,Open,False,"GCC0500: 32572.722
GCC101410: 116470.0
GCC1706: 4998397.0
GCC3737: 57.614
GCC5139: 89431.0
GCC73048: -4035.12"
1813086,GCC396314,GCC61946,24/1.06oz XM MCAR SUB050,Co-Pack Finished Good,12785,184,12601,2019-Jun-19 09:00 PM,Booked,True,"GCC0500: 32691.014
GCC102156: 203664.0
GCC1706: 4992607.0
GCC3737: 50.666
GCC4443: 62393.0
GCC4943: 55898.0
GCC77074: 169955.64"
1813085,GCC396312,GCC41185,12/8.6oz XM AST CLA SUB400,Co-Pack Finished Good,7852,7852,0,2019-Jun-15 09:00 PM,Booked,False,"GCC0500: 32611.8516
GCC102148: -47123.0
GCC1706: 5002473.0
GCC3737: 62.505199999999995
GCC5139: 91469.0
GCC70077: 44717.313599999994
GCC77074: 170052.312
GCC77082: 84688.312"
1813083,GCC396431,GCC61979,1/26.6oz Mk Car SQ 50ct CDY,Co-Pack Finished Good,22000,0,22000,2019-Jun-15 09:00 PM,Booked,True,"GCC0456: 125.8
GCC101601: 5968.0
GCC1706: 4974177.0
GCC4430: 10971.0
GCC77074: 168939.0
GCC8516: 10542.4"
1813082,GCC396420,GCC40470,200/10/18.1oz XL-C Gold Sams,Co-Pack Finished Good,200,0,200,2019-Jun-15 09:00 PM,Booked,False,"GCC100652: 3102.0
GCC101708: 231520.0
GCC2490: 9138.0
GCC2513: 16661.0
GCC2618: -149.0
GCC2843: 162.0
GCC2863: 20325.0
GCC3737: 73.35
GCC4730: 1729.0
GCC6039: 8082.0
GCC70077: 45023.2
GCC70858: -740.0
GCC77074: 170383.0
GCC77076: 14804.0
GCC7754: 33544.0
GCC8516: 10393.0"
1813080,GCC396499,GCC62313,24/1.0oz DK SS CAR XSML PDQ,Co-Pack Finished Good,1919,0,1919,2019-Jun-15 09:00 PM,Open,False,"GCC0500: 32751.8636
GCC101716: 65702.0
GCC1706: 5014339.0
GCC3737: 76.7444
GCC4799: -1919.0
GCC4943: 66764.0
GCC77076: 15419.776"
1813079,GCC396544,GCC41281,280/14/19.14 ED ID ASST SUB710,Co-Pack Finished Good,30,0,30,2019-Jun-15 09:00 PM,Open,False,"GCC101998: 5097.0
GCC102134: 11150.0
GCC102490: 3675.0
GCC102596: 40800.0
GCC2513: 17341.0
GCC2618: 21.0
GCC3737: 79.66999999999999
GCC70124: 153546.28
GCC76091: -206.64
GCC76123: -220.08
GCC7754: 34224.0
GCC8516: 10563.0"
1813078,GCC396545,GCC41282,280/14/19.14 ID w/SSS SUB710,Co-Pack Finished Good,30,0,30,2019-Jun-15 09:00 PM,Booked,False,"GCC101998: 5097.0
GCC102081: 37525.0
GCC102134: 11150.0
GCC102491: 3840.0
GCC2513: 17341.0
GCC2618: 21.0
GCC3737: 79.66999999999999
GCC70124: 153561.4
GCC76091: -220.08
GCC76853: -220.08
GCC7754: 34224.0
GCC8516: 10563.0
GCC70091: 200396.1
GCC70853: 181933.1"
